,Departamento,Capital,Barrio,long,lat
165,VALLE,CALI (CT),GUAYAQUIL E9,-76.52764050234052,3.4392036
167,VALLE,CALI (CT),LOS PARQUES - BARRANQUILLA E5,-76.4961261382598,3.4772218
169,VALLE,CALI (CT),CHAPINERO E8,-76.50193379631786,3.44462095
171,VALLE,CALI (CT),ASTURIAS E12,-76.50278010411766,3.4381131000000003
173,VALLE,CALI (CT),JUNIN E9,-76.52737304978461,3.43402005
174,VALLE,CALI (CT),NAPOLES E18,-76.54828967125123,3.3865877
176,VALLE,CALI (CT),LOS ROBLES E13,-76.49510379506474,3.42178635
178,VALLE,CALI (CT),PANAMERICANO E10,-76.53592623025361,3.41512605
179,VALLE,CALI (CT),PRIMERO DE MAYO E17,-76.53321958127349,3.40546745
181,VALLE,CALI (CT),LA PLAYA E17,-76.5414858314575,3.3753045000000004
183,VALLE,CALI (CT),LOS LIBERTADORES E3,-76.53861397988834,3.4410876000000004
186,VALLE,CALI (CT),SANTA ISABEL E19,-76.54933721445327,3.4295417
189,VALLE,CALI (CT),ARANJUEZ E9,-76.52320926993713,3.43657695
190,VALLE,CALI (CT),FATIMA E4,-76.51836445072753,3.4635795
191,VALLE,CALI (CT),MELENDEZ E18,-76.54487431146325,3.37797795
192,VALLE,CALI (CT),VALLE GRANDE E21,-76.47089512960612,3.4373287000000006
193,VALLE,CALI (CT),INDUSTRIAL E8,-76.51501231329317,3.45300465
198,VALLE,CALI (CT),LA FORTALEZA E11,-76.51288592098015,3.42661075
200,VALLE,CALI (CT),MUNICIPAL E8,-76.51183367048199,3.44787425
201,VALLE,CALI (CT),POTRERO GRANDE E21,-76.46942599590446,3.40686655
202,VALLE,CALI (CT),LA NUEVA BASE E8,-76.49112363489338,3.4482417
204,VALLE,CALI (CT),PASEO DE LOS ALMENDROS E5,-76.49477238275426,3.4724663000000002
206,VALLE,CALI (CT),PASO DEL COMERCIO E6,-76.48682503528805,3.4934741999999996
208,VALLE,CALI (CT),VILLA DEL LAGO E13,-76.48995069289808,3.43711755
209,VALLE,CALI (CT),FLORA INDUSTRIAL E4,-76.5038268040191,3.4803135999999997
210,VALLE,CALI (CT),EL PRADO E11,-76.51653025354985,3.4348632500000003
211,VALLE,CALI (CT),LA FLORESTA E8,-76.51223505729786,3.44345005
212,VALLE,CALI (CT),SINDICAL E12,-76.50142863242084,3.43062965
215,VALLE,CALI (CT),PUERTO NUEVO E7,-76.47670941035716,3.45393655
216,VALLE,CALI (CT),BELISARIO CAICEDO E20,-76.55642365192789,3.41475235
217,VALLE,CALI (CT),PRIMITIVO CRESPO E8,-76.51664434383855,3.43826805
218,VALLE,CALI (CT),BRISAS DEL LIMONAR E16,-76.5219731623276,3.4020711
219,VALLE,CALI (CT),SIMON BOLIVAR E8,-76.5177127057313,3.4425912000000003
221,VALLE,CALI (CT),LAS GRANJAS E10,-76.52699627439506,3.40949555
222,VALLE,CALI (CT),LA CASCADA E19,-76.5559390664073,3.4024095
224,VALLE,CALI (CT),SANTA MONICA POPULAR E8,-76.51028506988088,3.4373022000000004
227,VALLE,CALI (CT),LA CAMPIÑA E2,-76.52931434430889,3.48233165
228,VALLE,CALI (CT),TIERRA BLANCA E20,-76.5594229584062,3.4199362
230,VALLE,CALI (CT),PUERTO MALLARINO E7,-76.47894884064645,3.4491761
231,VALLE,CALI (CT),EL GUABAL E10,-76.52825032471364,3.41597545
233,VALLE,CALI (CT),LOS LIDERES E21,-76.46638456238793,3.41949875
235,VALLE,CALI (CT),SAAVEDRA GALINDO E8,-76.51384091208752,3.44164145
236,VALLE,CALI (CT),EL PILOTO E3,-76.52380166980154,3.4603568999999994
238,VALLE,CALI (CT),LAS AMERICAS E8,-76.50635422144741,3.44801315
239,VALLE,CALI (CT),BOLIVARIANO E4,-76.51391541922408,3.46803485
240,VALLE,CALI (CT),BUENOS AIRES E18,-76.54977685535519,3.39298005
242,VALLE,CALI (CT),EL PEÑON E3,-76.54104479834187,3.45000425
243,VALLE,CALI (CT),FEPICOL E7,-76.48583270085516,3.46211905
244,VALLE,CALI (CT),3 DE JULIO E19,-76.54063030732517,3.4330258
245,VALLE,CALI (CT),URB. MILITAR E19,-76.53931022926369,3.4135155
246,VALLE,CALI (CT),SANTA TERESITA E2,-76.55225030891978,3.45096125
247,VALLE,CALI (CT),BELEN E20,-76.55353003116865,3.4268027
248,VALLE,CALI (CT),CIUDAD CAPRI E17,-76.54185984361166,3.38933805
252,VALLE,CALI (CT),RICARDO BALCAZAR E13,-76.49329978074792,3.4335508000000003
253,VALLE,CALI (CT),EDUARDO SANTOS E12,-76.50526021329875,3.428888
254,VALLE,CALI (CT),MARCO FIDEL SUAREZ E4,-76.50888559999999,3.4741676
259,VALLE,CALI (CT),ACUEDUCTO SAN ANTONIO E3,-76.54459999762514,3.44587615
260,VALLE,CALI (CT),MANZANARES E4,-76.51029372751725,3.4667863
261,VALLE,CALI (CT),LA ESPERANZA E11,-76.51987006553466,3.4201962
262,VALLE,CALI (CT),NUEVA GRANADA E19,-76.5490703,3.4244491999999997
263,VALLE,CALI (CT),CALDAS E18,-76.54950868018838,3.39485805
264,VALLE,CALI (CT),GUILLERMO VALENCIA E4,-76.5114609,3.4743481
265,VALLE,CALI (CT),JUANAMBU E2,-76.5380974352564,3.45516675
266,VALLE,CALI (CT),MENGA E2,-76.52587878989803,3.49302735
267,VALLE,CALI (CT),PASOANCHO E10,-76.53249862966359,3.41830045
268,VALLE,CALI (CT),LA SELVA E10,-76.52930857438024,3.4103856
272,VALLE,CALI (CT),EVARISTO GARCIA E4,-76.50658827722451,3.47580245
273,VALLE,CALI (CT),EL JORDAN E18,-76.551286,3.3759546
274,VALLE,CALI (CT),PARQUE DE LA CAÑA E7,-76.50795069479747,3.455683
275,VALLE,CALI (CT),EL CORTIJO E20,-76.55971126050926,3.4170152000000003
278,VALLE,CALI (CT),CIUDAD UNIVERSITARIA E17,-76.53328032849869,3.37360265
280,VALLE,CALI (CT),JORGE ZAWADSKY E10,-76.53125878780807,3.4109421
281,VALLE,CALI (CT),ALTO JORDAN E18,-76.5570688,3.3758903
282,VALLE,CALI (CT),EL GRAN LIMONAR - CATAYA E17,-76.54069390000001,3.3983387
283,VALLE,CALI (CT),CAMINO REAL - LOS FUNDADORES E19,-76.54093431095187,3.40819225
284,VALLE,CALI (CT),EL RECUERDO E11,-76.51549970747857,3.430161
286,VALLE,CALI (CT),VILLA DEL SOL E5,-76.49586650713772,3.4816169500000003
287,VALLE,CALI (CT),COMPARTIR E21,-76.4668946387036,3.4316826
288,VALLE,CALI (CT),NORMANDIA E2,-76.54433062461013,3.45376985
289,VALLE,CALI (CT),VILLANUEVA E12,-76.50898792215294,3.4305311
290,VALLE,CALI (CT),TEJARES - CRISTALES E19,-76.55024317008579,3.43784555
291,VALLE,CALI (CT),URB. RIO LILI E22,-76.52786155894228,3.364614
294,VALLE,CALI (CT),LOS CONQUISTADORES E11,-76.50680429105107,3.42587195
295,VALLE,CALI (CT),ULPIANO LLOREDA E13,-76.48998495354465,3.4414413999999995
296,VALLE,CALI (CT),FONAVIEMCALI E6,-76.48916231203125,3.4844242000000003
298,VALLE,CALI (CT),PUEBLO JOVEN E20,-76.56557077758639,3.41656165
299,VALLE,CALI (CT),LA ESMERALDA E4,-76.50814238800459,3.4589062000000004
302,VALLE,CALI (CT),CIUDADELA PASOANCHO E17,-76.53618081838756,3.3856125500000003
303,VALLE,CALI (CT),YIRA CASTRO E13,-76.4977741928845,3.42680935
305,VALLE,CALI (CT),20 DE JULIO E11,-76.51289959775289,3.43475865
307,VALLE,CALI (CT),VILLA BLANCA E13,-76.49519672869664,3.4295988
308,VALLE,CALI (CT),EL GRAN LIMONAR E17,-76.54484144252658,3.3956
309,VALLE,CALI (CT),VISTA HERMOSA E1,-76.57766161765292,3.45489905
310,VALLE,CALI (CT),SAN PEDRO CLAVER E11,-76.50450734781742,3.42473355
311,VALLE,CALI (CT),SULTANA BERLIN SAN FRANCISCO E4,-76.5173795926063,3.4656376000000004
312,VALLE,CALI (CT),LEON XIII E11,-76.50926904696175,3.4262582000000004
315,VALLE,CALI (CT),EL HOYO E3,-76.52825937730839,3.4573607500000003
316,VALLE,CALI (CT),ARBOLEDAS E2,-76.5506315,3.4495952000000005
318,VALLE,CALI (CT),EL MORTIÑAL E19,-76.55033582073851,3.4422917999999996
319,VALLE,CALI (CT),LLERAS RESTREPO E13,-76.49335861738494,3.4368913999999995
320,VALLE,CALI (CT),CRISTO REY E19,-76.56480548265345,3.43581425
321,VALLE,CALI (CT),CAÑAVERALEJO GUADALUPE E19,-76.5575945,3.4110567
322,VALLE,CALI (CT),JULIO RINCON E12,-76.50117048575837,3.4270432
323,VALLE,CALI (CT),EL NACIONAL E3,-76.54511885536525,3.4436419000000003
325,VALLE,CALI (CT),COLINAS DEL SUR E18,-76.55196881035639,3.38927215
327,VALLE,CALI (CT),LA LIBERTAD E10,-76.52343023612912,3.4237778
330,VALLE,CALI (CT),RODRIGO LARA BONILLA E13,-76.48916552893131,3.42647805
331,VALLE,CALI (CT),BOSQUES DEL LIMONAR E17,-76.53482168065656,3.3997687999999995
332,VALLE,CALI (CT),LA ALIANZA E4,-76.50570070632739,3.4721642999999998
335,VALLE,CALI (CT),SANTA MONICA BELALCAZAR E9,-76.52003224638,3.4374502000000002
336,VALLE,CALI (CT),PIZAMOS II E21,-76.4735428668093,3.40480185
342,VALLE,CALI (CT),LA SULTANA E20,-76.56467559999999,3.4221947999999998
